user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:03
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:03
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:04
user: papi     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 13:27:05
user: papi     |    Total score: 4     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:05
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:06
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:07
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:07
user: papi     |    Total score: 31     |      Stages won: 6       |     Achieved on: 2024-05-17 13:27:11
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:11
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:12
user: papi     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:13
user: papi     |    Total score: 15     |      Stages won: 3       |     Achieved on: 2024-05-17 13:27:14
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:14
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:15
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:16
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:17
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:18
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:18
user: papi     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:19
user: papi     |    Total score: 4     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:20
user: papi     |    Total score: 21     |      Stages won: 4       |     Achieved on: 2024-05-17 13:27:24
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:24
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:25
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:26
user: papi     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 13:27:27
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:28
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:29
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:30
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:31
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:31
user: papi     |    Total score: 11     |      Stages won: 2       |     Achieved on: 2024-05-17 13:27:33
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:33
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:34
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:35
user: papi     |    Total score: 15     |      Stages won: 3       |     Achieved on: 2024-05-17 13:27:37
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:38
user: papi     |    Total score: 14     |      Stages won: 3       |     Achieved on: 2024-05-17 13:27:39
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:27:40
user: papi     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:27:40
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:29:56
user: papi     |    Total score: 30     |      Stages won: 6       |     Achieved on: 2024-05-17 13:30:01
user: papi     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:30:04
user: alet     |    Total score: 19     |      Stages won: 4       |     Achieved on: 2024-05-17 13:33:09
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:12
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:12
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:13
user: alet     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 13:33:15
user: alet     |    Total score: 15     |      Stages won: 3       |     Achieved on: 2024-05-17 13:33:18
user: alet     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:19
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:19
user: alet     |    Total score: 35     |      Stages won: 7       |     Achieved on: 2024-05-17 13:33:27
user: alet     |    Total score: 20     |      Stages won: 4       |     Achieved on: 2024-05-17 13:33:31
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:32
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:32
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:33
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:33
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:34
user: alet     |    Total score: 9     |      Stages won: 2       |     Achieved on: 2024-05-17 13:33:36
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:37
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:38
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:38
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:39
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:39
user: alet     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:40
user: alet     |    Total score: 31     |      Stages won: 6       |     Achieved on: 2024-05-17 13:33:44
user: alet     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:45
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:45
user: alet     |    Total score: 35     |      Stages won: 7       |     Achieved on: 2024-05-17 13:33:49
user: alet     |    Total score: 15     |      Stages won: 3       |     Achieved on: 2024-05-17 13:33:51
user: alet     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:53
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:54
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:54
user: alet     |    Total score: 9     |      Stages won: 2       |     Achieved on: 2024-05-17 13:33:56
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:33:57
user: alet     |    Total score: 6     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:58
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:33:59
user: alet     |    Total score: 15     |      Stages won: 3       |     Achieved on: 2024-05-17 13:34:02
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:34:03
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:34:04
user: alet     |    Total score: 25     |      Stages won: 5       |     Achieved on: 2024-05-17 13:34:08
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:34:09
user: alet     |    Total score: 15     |      Stages won: 3       |     Achieved on: 2024-05-17 13:34:11
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:34:12
user: alet     |    Total score: 10     |      Stages won: 2       |     Achieved on: 2024-05-17 13:34:13
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:34:14
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:34:14
user: alet     |    Total score: 5     |      Stages won: 1       |     Achieved on: 2024-05-17 13:34:15
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:34:16
user: alet     |    Total score: 0     |      Stages won: 0       |     Achieved on: 2024-05-17 13:34:16
